ngram,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
dsh,0.0,0.0,0.0,0.0,3.4367384222371006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odk,0.0,0.0,0.0,0.0,0.0,5.464367258761422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kes,3.0665850154229376e-05,0.0,0.0,0.0,6.443884541810771e-05,0.00045276185859125423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005229876990297007
seg,2.5090241035278578e-05,3.831415805780425e-06,0.0,0.00018724228993683613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004749674772485064,0.0,0.0,0.0,0.0
ipo,1.074113653258523e-06,3.9119480014930645e-05,2.0722853208966886e-05,5.725604053605628e-07,0.0,3.7595837730415265e-06,3.184438673833934e-05,2.5473367534792014e-05,2.97234122383077e-05,3.4597030955736505e-06,6.111020927948348e-05,2.1785749207475526e-06,2.5675616485071055e-05,0.0,1.662061685739733e-05,7.5236140873218355e-06
kko,4.18170683918796e-06,0.0,0.0,0.0,0.0,0.00020491377220601688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noc,0.0,5.738699993382184e-07,5.46164983075126e-07,4.095486102893173e-05,5.7909956087231775e-06,5.846097843619844e-07,1.020980539505352e-06,9.661149848342755e-07,0.0,1.075957554218043e-06,1.0217793836066608e-06,4.471700871178256e-05,5.545167852951446e-07,0.0,5.274452327344023e-07,3.0519417375409115e-06
saj,0.0,0.0,0.0,9.807929472822935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.785249674937875e-05,0.0,0.0,0.0,0.0
acp,0.00021744875563515964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015211592098469915,0.0,0.0002343256573560547
ikh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7022049909598067e-05,0.0,0.0,0.0
tsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.788762590792652e-06,3.0329427658633492e-05,0.0,4.94251543388113e-05,0.0,0.0,0.0,0.0,0.0
h_c,0.0,0.0,0.0,0.0,0.00019193408131676018,0.0,0.0,0.0,0.0,0.0,0.0,5.462210802337422e-06,0.0,0.0,0.0,8.201525355947479e-06
vng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396024019612138e-05
eto,0.0,2.385271852066736e-06,3.7835280993254134e-06,1.4802394623576954e-05,5.348907451690998e-06,8.099704722262977e-07,0.0,4.684896164897341e-06,1.0424558470535329e-05,1.5652638138760806e-05,1.1325313424293071e-05,1.5019376304293019e-05,1.459726206212696e-05,0.0,0.0,7.047386583003583e-07
